obf,disccount,nodekindcode,lowerbound,upperbound
--------------------------XXX-----OOO--------------------------- X;,6,2,-2,-2
-----------------O--------OXX-----OOO--------------------------- X;,7,16,2,36
---------O---X---XOXX------OO------XO--------------------------- X;,10,8,-36,-2
----------O-------OOOX-----OX------XO--------------------------- X;,9,16,2,36
------------------X-------OXO-----OOOO---O---------------------- X;,9,16,2,36
-------------------O------XOX-----OOO--------------------------- X;,7,16,2,36
-------------------X-------XXOO----XOO------O------------------- X;,9,16,2,36
-----------X-------XX------OOOO---OOO--------------------------- X;,10,8,-36,-2
-------------------X-------XXO-----XOO------OO------------------ X;,9,16,2,36
-------------------OX-----OOX-----XOX------O-------------------- X;,9,16,2,36
--------------------X-----OXX-----XOOO-----O-------------------- X;,9,16,2,36
-----------O-------O------OOXX----XOO-------O------------------- X;,10,8,-36,-2
-------------------X-------XXO-----XOOO-----O------------------- X;,9,16,2,36
--------------------OX----XOX-----OOO------O-------O------------ X;,10,8,-36,-2
-------------------O------XXXX-----XXO------O------O------------ X;,10,8,-36,-2
---------O--------O--X----XOX-----XXO-------O------------------- X;,10,8,-36,-2
-------------------XXX-----XX-----OXO------O--------O----------- X;,10,8,-36,-2
----------------------O----XXO-----OO-----OOO------------------- X;,9,16,2,36
------------------O-------XOX------OO------OOO------------------ X;,9,16,2,36
------------------OXXX-----OX-----OXO-----X--------------------- X;,10,8,-36,-2
-------------------XO------XO------OO-----O--------------------- X;,7,16,2,36
---------------------X----OOOO----XXX--------------------------- X;,8,8,-36,-2
-----------------X---X----XOOO----XXO--------O------------------ X;,10,8,-36,-2
------------------OX-------XO------OO-----OOO------------------- X;,9,16,2,36
------------------XXX------XX------OOO-------------------------- X;,8,8,-36,-2
-------------------XXX-----XX------XO-------OO--------O--------- X;,10,8,-36,-2
-------------X----OXX-----OOO-----XXO--------------------------- X;,10,8,-36,-2
-------------------XXX-----XO------XO------OO-----O------------- X;,10,8,-36,-2
--------------------OO----XOOX----OOO--------------------------- X;,9,16,2,36
-------------------XO-----XXX------XOOO-----O------------------- X;,10,16,-6,36
-------------X----O-X-----XOO------XO--------------------------- X;,8,16,-10,36
